image_id,gene,source_dir
Duodenum_ECD_Male_50_1904.jpg,ECD,images
Duodenum_ECD_Male_66_2329.jpg,ECD,images
Duodenum_ECE1_Male_50_1904.jpg,ECE1,images
Duodenum_EDC3_Male_55_1920.jpg,EDC3,images
Duodenum_EDEM2_Male_35_3219.jpg,EDEM2,images
Duodenum_EEF1D_Female_62_3515.jpg,EEF1D,images
Duodenum_EEF2_Male_54_2562.jpg,EEF2,images
Duodenum_EFTUD2_Male_54_2562.jpg,EFTUD2,images
Duodenum_EGLN1_Female_60_3548.jpg,EGLN1,images
Duodenum_EID2_Male_55_1920.jpg,EID2,images
Duodenum_EIF2B2_Male_66_2329.jpg,EIF2B2,images
Duodenum_EIF3I_Female_62_3515.jpg,EIF3I,images
Duodenum_EIF4A2_Male_50_1904.jpg,EIF4A2,images
Duodenum_EIF6_Male_35_3219.jpg,EIF6,images
Duodenum_ELAPOR1_Male_35_3219.jpg,ELAPOR1,images
Duodenum_ELOVL7_Female_62_3515.jpg,ELOVL7,images
Duodenum_ELP5_Female_60_3548.jpg,ELP5,images
Duodenum_ELP5_Male_50_1904.jpg,ELP5,images
Duodenum_EMC9_Female_61_3614.jpg,EMC9,images
Duodenum_ENDOD1_Male_54_2562.jpg,ENDOD1,images
Duodenum_ENPP4_Male_50_1904.jpg,ENPP4,images
Duodenum_ENSG00000111780_Female_67_3479.jpg,ENSG00000111780,images
Duodenum_ENSG00000131152_Female_62_3515.jpg,ENSG00000131152,images
Duodenum_ENSG00000255730_Male_50_1904.jpg,ENSG00000255730,images
Duodenum_ENSG00000262660_Male_50_1904.jpg,ENSG00000262660,images
Duodenum_ENSG00000262660_Male_54_2562.jpg,ENSG00000262660,images
Duodenum_EP400_Female_60_3548.jpg,EP400,images
Duodenum_EPHB4_Male_50_1904.jpg,EPHB4,images
Duodenum_EPS8_Male_50_1904.jpg,EPS8,images
Duodenum_ERBIN_Male_55_1920.jpg,ERBIN,images
Duodenum_ERCC5_Female_67_3479.jpg,ERCC5,images
Duodenum_ERH_Male_66_2329.jpg,ERH,images
